WARNING ,Connection established: True
WARNING ,GPSNavInit
WARNING ,goodFix and end GPSNavInit
WARNING ,End initialize IMU & GPS
WARNING ,begin calibrateMag
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 159.026039
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: 173.384598
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
INFO    ,bearRel: -172.709630
